Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.05,-.38,-.13,-.02,-.81,-.50,-.28,-.14,-.11,-.05,.05,.67
1881,-.09,-.19,.01,-.37,.11,-.07,-.91,-.49,-.22,.10,.12,-.05,-.07,.59
